2020-11-25 08:52:57.852 [http-nio-8094-exec-2] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-11-25 14:09:55.526 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-11-25 15:22:47.998 [http-nio-8094-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@3c98b81f (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 15:23:07.137 [http-nio-8094-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@799a7b87 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 15:23:29.315 [http-nio-8094-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@736210f7 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 15:23:48.448 [http-nio-8094-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@1c0c93f7 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 15:24:08.789 [http-nio-8094-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2ea4cda5 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 15:52:48.253 [http-nio-8094-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@22d7d9c0 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 15:53:07.407 [http-nio-8094-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@282fb2b0 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 15:53:28.163 [http-nio-8094-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@7f100f77 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 16:21:56.141 [http-nio-8094-exec-2] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-11-25 18:28:22.914 [DatebookHikariCP housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - DatebookHikariCP - Thread starvation or clock leap detected (housekeeper delta=33m25s102ms621µs800ns).
2020-11-25 18:57:38.076 [http-nio-8094-exec-10] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@3c1ce1b8 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 18:57:56.980 [http-nio-8094-exec-10] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@36e48ac8 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 18:58:18.702 [http-nio-8094-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@21c8b449 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 18:58:37.607 [http-nio-8094-exec-2] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2b30df39 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 19:11:31.610 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@6b31acd2 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 19:11:50.540 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@56590cbd (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 19:12:11.042 [http-nio-8094-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@269c6339 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 19:12:29.948 [http-nio-8094-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2c640849 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-25 19:12:50.200 [http-nio-8094-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2c843d94 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
