2020-12-04 08:42:29.816 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-12-04 09:36:25.714 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@4f433ec5 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:36:41.443 [http-nio-8094-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@56f9a35c (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:36:44.621 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@4259d1e0 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:36:45.065 [http-nio-8094-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@48a1ba90 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:37:00.348 [http-nio-8094-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@7df807ed (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:54:54.104 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@39602065 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:55:13.008 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@33984b15 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:55:26.182 [http-nio-8094-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@3697eb5e (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:55:45.087 [http-nio-8094-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@55e31792 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 09:55:52.696 [http-nio-8094-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@5f1b7ce2 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:24:47.448 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@7709c337 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:25:06.354 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@77952c5b (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:25:20.322 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@736536cd (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:31:54.259 [http-nio-8094-exec-2] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-12-04 10:31:59.128 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-12-04 10:32:10.809 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-12-04 10:32:13.076 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-12-04 10:54:27.329 [http-nio-8094-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@3aa75b7c (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:54:46.237 [http-nio-8094-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2da8d583 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:54:54.286 [http-nio-8094-exec-10] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2750bef3 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:55:13.192 [http-nio-8094-exec-10] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@9bdf179 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 10:55:46.842 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@717fe8bc (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 12:17:51.788 [DatebookHikariCP housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - DatebookHikariCP - Thread starvation or clock leap detected (housekeeper delta=1m8s111ms119µs).
2020-12-04 14:47:08.225 [http-nio-8094-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@7ebd9bd8 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 14:47:27.174 [http-nio-8094-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@61020862 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 15:06:32.128 [http-nio-8094-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@3a77e2e (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 15:06:51.301 [http-nio-8094-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@5c524391 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 16:57:17.315 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@6cd35896 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 16:57:36.243 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2cf58f9a (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-04 17:10:10.549 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-12-04 17:16:13.874 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.twkf.dao]' package. Please check your configuration.
2020-12-04 17:19:16.321 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.twkf.dao]' package. Please check your configuration.
2020-12-04 17:19:46.455 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.twkf.dao]' package. Please check your configuration.
2020-12-04 17:19:58.816 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.twkf.dao]' package. Please check your configuration.
2020-12-04 19:03:41.261 [http-nio-8094-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@66019882 (IO 错误: Invalid Operation, NOT Connected). Possibly consider using a shorter maxLifetime value.
