2020-12-01 08:43:00.249 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-12-01 09:00:30.181 [http-nio-8094-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@59a2de19 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 09:00:49.086 [http-nio-8094-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@153dffdc (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 14:04:02.987 [http-nio-8094-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@5455328f (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 14:04:22.475 [http-nio-8094-exec-6] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@4a124043 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 16:03:08.373 [http-nio-8094-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@19a076b2 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 16:03:27.657 [http-nio-8094-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@dbae983 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 16:03:30.319 [http-nio-8094-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.apache.catalina.connector.ClientAbortException: java.io.IOException: 远程主机强迫关闭了一个现有的连接。]
2020-12-01 16:26:02.255 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@13497d6e (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 16:26:21.161 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@3558e2c2 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-12-01 16:26:24.958 [http-nio-8094-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.transaction.CannotCreateTransactionException: Could not open JDBC Connection for transaction; nested exception is java.sql.SQLTransientConnectionException: DatebookHikariCP - Connection is not available, request timed out after 37816ms.]
2020-12-01 16:32:59.145 [http-nio-8094-exec-10] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@16097ad6 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
